axis_position_id,lane,order_index,label_he,rationale_he,source_ids
axis-otzma-yehudit,far_right,10,ימין,מיקום עריכתי לפי האפיון המקובל בסקירת המפלגות של המכון הישראלי לדמוקרטיה; אינו ציון מדעי,src-idi-parties
axis-noam,far_right,20,ימין,מיקום עריכתי לפי האפיון המקובל בסקירת המפלגות של המכון הישראלי לדמוקרטיה; אינו ציון מדעי,src-idi-parties
axis-religious-zionism,right,30,ימין,מיקום עריכתי לפי האפיון המקובל בסקירת המפלגות של המכון הישראלי לדמוקרטיה; אינו ציון מדעי,src-idi-parties
axis-likud,right,40,ימין,מיקום עריכתי לפי האפיון המקובל בסקירת המפלגות של המכון הישראלי לדמוקרטיה; אינו ציון מדעי,src-idi-parties
axis-state-right,center_right,50,מרכז־ימין,מיקום עריכתי לפי האפיון המקובל בסקירת המפלגות של המכון הישראלי לדמוקרטיה; אינו ציון מדעי,src-idi-parties
axis-yisrael-beiteinu,center_right,60,מרכז־ימין,מיקום עריכתי לפי האפיון המקובל בסקירת המפלגות של המכון הישראלי לדמוקרטיה; אינו ציון מדעי,src-idi-parties
axis-blue-white,center,70,מרכז,מיקום עריכתי לפי האפיון המקובל בסקירת המפלגות של המכון הישראלי לדמוקרטיה; אינו ציון מדעי,src-idi-parties
axis-yesh-atid,center,80,מרכז,מיקום עריכתי לפי האפיון המקובל בסקירת המפלגות של המכון הישראלי לדמוקרטיה; אינו ציון מדעי,src-idi-parties
axis-labor,center_left,90,מרכז־שמאל,מיקום עריכתי לפי האפיון המקובל בסקירת המפלגות של המכון הישראלי לדמוקרטיה; אינו ציון מדעי,src-idi-parties
axis-democrats,center_left,100,מרכז־שמאל,מיקום עריכתי זמני על בסיס הרצף הארגוני עם מפלגת העבודה והסקירה המוסדית; אינו ציון מדעי,src-idi-parties
axis-hadash-taal,left,110,שמאל,מיקום עריכתי לפי האפיון המקובל בסקירת המפלגות של המכון הישראלי לדמוקרטיה; אינו ציון מדעי,src-idi-parties
axis-shas,off_axis,200,מחוץ לציר,מפלגה מגזרית שלא מוצבת כאן באופן חד־משמעי על הציר המדיני־ביטחוני,src-idi-parties
axis-utj,off_axis,210,מחוץ לציר,מפלגה מגזרית שלא מוצבת כאן באופן חד־משמעי על הציר המדיני־ביטחוני,src-idi-parties
axis-raam,off_axis,220,מחוץ לציר,מפלגה מגזרית שלא מוצבת כאן באופן חד־משמעי על הציר המדיני־ביטחוני,src-idi-parties
axis-yashar,off_axis,230,מחוץ לציר,מפלגה חדשה שטרם נמצא עבורה אפיון מוסדי יציב המתאים לציר זה,src-poll-n12-2026-07-13
axis-beyachad,off_axis,240,מחוץ לציר,רשימה חדשה המשלבת מסגרות שונות וטרם נמצא עבורה אפיון מוסדי יציב המתאים לציר זה,src-poll-n12-2026-07-13
axis-miluimnikim,off_axis,250,מחוץ לציר,רשימה חדשה שטרם נמצא עבורה אפיון מוסדי יציב המתאים לציר זה,src-poll-n12-2026-07-20
axis-economic-party,off_axis,260,מחוץ לציר,מפלגה כלכלית שאין לה מיקום מתועד וברור על הציר המדיני־ביטחוני,src-party-inclusion-policy
