party_id,name_he,legal_name_he,entity_type,status,eligibility_basis_he,eligibility_source_id,website_url,logo_file,mark_he,brand_color,axis_position_id,notes
likud,הליכוד,הליכוד - תנועה לאומית ליברלית,faction,knesset,סיעה מכהנת בכנסת ה-25,src-knesset-factions25,https://www.likud.org.il/,,ליכ,#1F5AA6,axis-likud,מקור צבע הזיהוי: אתר הליכוד הרשמי; הצבע משמש קו זהות בלבד
yesh-atid,יש עתיד,יש עתיד - בראשות יאיר לפיד,faction,knesset,סיעה מכהנת בכנסת ה-25,src-knesset-factions25,https://yeshatid.org.il/,,עתד,#163F8C,axis-yesh-atid,המותג ביחד נמדד בנפרד בסקרים משום שהוא רשימת בחירות מתוכננת; מקור צבע הזיהוי: אתר יש עתיד הרשמי
shas,ש״ס,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ״ל,faction,knesset,סיעה מכהנת בכנסת ה-25,src-knesset-factions25,,,שס,#173B75,axis-shas,מקור צבע הזיהוי: מזהה הסיעה ברשימת הסיעות הרשמית של הכנסת
blue-white,כחול לבן,כחול לבן - המחנה הממלכתי,faction,knesset,סיעה מכהנת בכנסת ה-25,src-knesset-factions25,https://kachollavan.org.il/,,כחל,#54A8D8,axis-blue-white,מקור צבע הזיהוי: אתר כחול לבן הרשמי
utj,יהדות התורה,יהדות התורה והשבת אגודת ישראל - דגל התורה,faction,knesset,סיעה מכהנת בכנסת ה-25,src-knesset-factions25,,,יהת,#2D3178,axis-utj,מקור צבע הזיהוי: מזהה הסיעה ברשימת הסיעות הרשמית של הכנסת
religious-zionism,הציונות הדתית,הציונות הדתית בראשות בצלאל סמוטריץ׳,faction,knesset,סיעה מכהנת בכנסת ה-25,src-knesset-factions25,https://zionutdatit.org.il/,,ציד,#7852A0,axis-religious-zionism,מקור צבע הזיהוי: אתר הציונות הדתית הרשמי
otzma-yehudit,עוצמה יהודית,עוצמה יהודית בראשות איתמר בן גביר,faction,knesset,סיעה מכהנת בכנסת ה-25,src-knesset-factions25,https://ozma-yeudit.co.il/,,עצי,#A87600,axis-otzma-yehudit,מקור צבע הזיהוי: אתר עוצמה יהודית הרשמי
yisrael-beiteinu,ישראל ביתנו,ישראל ביתנו,faction,knesset,סיעה מכהנת בכנסת ה-25,src-knesset-factions25,https://beytenu.org.il/,,בית,#00778A,axis-yisrael-beiteinu,מקור צבע הזיהוי: אתר ישראל ביתנו הרשמי
raam,רע״ם,הרשימה הערבית המאוחדת,faction,knesset,סיעה מכהנת בכנסת ה-25,src-knesset-factions25,,,רעם,#168447,axis-raam,מקור צבע הזיהוי: מזהה הרשימה בפרסומי ועדת הבחירות ובאתר הכנסת
hadash-taal,חד״ש–תע״ל,חד״ש–תע״ל,faction,knesset,סיעה מכהנת בכנסת ה-25,src-knesset-factions25,https://hadash.org.il/,,חדש,#C13D3D,axis-hadash-taal,מקור צבע הזיהוי: אתר חד״ש הרשמי
