party_id,net_position_comparable,measurement_start,measurement_end,public_funding_status,completeness_status,checked_at,note_he
likud,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
yesh-atid,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
shas,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
blue-white,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
utj,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
religious-zionism,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
otzma-yehudit,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
yisrael-beiteinu,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
raam,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
hadash-taal,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
labor,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
state-right,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
noam,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
yashar,false,2026-07-18,2026-07-27,unknown,partial,2026-07-27,נמצאו 12 תרומות במערכת מבקר המדינה בחיפוש מ־18.7.2026; המערכת מציגה תרומות מעל 1000 ש״ח בלבד ומימון ציבורי וחובות טרם נאספו ולכן אין די מידע רשמי לחישוב יתרה נטו
beyachad,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
democrats,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
miluimnikim,false,2026-07-18,2026-07-27,unknown,partial,2026-07-27,נמצאו 3 תרומות במערכת מבקר המדינה בחיפוש מ־18.7.2026; המערכת מציגה תרומות מעל 1000 ש״ח בלבד ומימון ציבורי וחובות טרם נאספו ולכן אין די מידע רשמי לחישוב יתרה נטו
economic-party,false,2026-07-18,2026-07-27,unknown,pending_collection,2026-07-27,בחיפוש הכללי במערכת מבקר המדינה מ־18.7.2026 לא אותרו רשומות לישות זו; מימון ציבורי וחובות טרם נאספו ואין די מידע רשמי לחישוב יתרה נטו
