alias_name_he,party_id,basis_he,source_id
בנט 2026,beyachad,שם הישות המדווחת במערכת מבקר המדינה ממופה לרשימת ביחד בראשות נפתלי בנט לפי החלטת המודל שנמסרה לפרויקט,src-poll-n12-2026-07-20
תקווה חדשה הימין הממלכתי,state-right,שם הישות המשפטית במערכת מבקר המדינה תואם את סיעת הימין הממלכתי,src-knesset-factions25
הכלכלית החדשה,economic-party,שם הישות המשפטית במערכת מבקר המדינה תואם את המפלגה הכלכלית החדשה,src-party-inclusion-policy
ישר לישראל עם איזנקוט,yashar,שם הישות המשפטית במערכת מבקר המדינה תואם את הרשימה ישר,src-comptroller-party-statements-interelection
המילואימניקים,miluimnikim,שם הישות המקבלת במערכת מבקר המדינה תואם את רכיב המילואימניקים ברשימה,src-comptroller-party-statements-interelection
יש עתיד – בראשות יאיר לפיד,yesh-atid,שם הישות המשפטית במערכת מבקר המדינה תואם את סיעת יש עתיד,src-knesset-factions25
כחול לבן חוסן לישראל,blue-white,שם הישות המשפטית במערכת מבקר המדינה תואם את סיעת כחול לבן,src-knesset-factions25
הליכוד - תנועה לאומית ליברלית,likud,שם הישות המשפטית במערכת מבקר המדינה תואם את סיעת הליכוד,src-knesset-factions25
"ש""ס – התאחדות הספרדים העולמית שומרי תורה",shas,שם הישות המשפטית במערכת מבקר המדינה תואם את סיעת ש״ס,src-knesset-factions25
ישראל ביתנו,yisrael-beiteinu,שם הישות המשפטית במערכת מבקר המדינה תואם את סיעת ישראל ביתנו,src-knesset-factions25
מפלגת העבודה הישראלית,democrats,מפלגת העבודה שינתה את שמה לדמוקרטים בעקבות מיזוג; הסיעה בכנסת נותרה מוצגת בנפרד בשם העבודה,src-knesset-labor-democrats-rename
המפלגה הקומוניסטית הישראלית,hadash-taal,ועדת הבחירות מזהה את המפלגה הקומוניסטית הישראלית כרכיב רשימת חד״ש,src-cec-hadash-maki
האיחוד הלאומי - תקומה,religious-zionism,דוח מבקר המדינה מזהה את האיחוד הלאומי - תקומה כמפלגה שהגישה את רשימת הציונות הדתית,src-comptroller-religious-zionism-tkuma
